Linux 5.4.0-81-generic (jeongho-desktop) 	2021년 09월 17일 	_x86_64_	(8 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.84    0.00    0.77    0.84    0.00   95.55

Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
loop0             0.00         0.00         0.00         86          0
loop1             0.00         0.00         0.00        846          0
loop2             0.00         0.00         0.00       2985          0
loop3             0.00         0.00         0.00        226          0
loop4             0.00         0.00         0.00        235          0
loop5             0.00         0.00         0.00       1324          0
loop6             0.00         0.00         0.00         84          0
loop7             0.00         0.00         0.00       2736          0
nvme0n1         385.20       201.26     45015.54  153723340 34382685208
sdb               0.00         0.02         0.00      16740          0
sda               2.49        25.61       505.67   19559273  386230200
sdc               0.00         0.03         0.00      23208          0
loop8             0.00         0.00         0.00       2691          0
loop9             0.06         0.06         0.00      48547          0
loop10            0.00         0.00         0.00       2986          0
loop11            0.00         0.00         0.00        140          0
loop12            0.00         0.00         0.00         56          0
loop13            0.00         0.00         0.00         57          0
loop14            0.00         0.00         0.00        138          0
loop15            0.00         0.00         0.00       2072          0
loop16            0.00         0.00         0.00       1566          0
loop17            0.00         0.00         0.00       1682          0

