,mem,page,total
2,685660,597432,1558424
3,1519636,1149944,2947396
4,2025664,1642448,4014036
5,2053636,2572880,4899776
6,2032192,2715988,5072908
7,2045924,3603584,5922836
8,2041916,3732392,6051552
9,2043504,4424288,6740976
10,2047032,4588236,6909632
11,2052584,4917180,7253824
12,2059040,5418012,7749208
13,2051328,5616316,7957156
14,2056872,6218128,8554456
15,2055024,6482072,8823900
17,2057140,6908296,9241728
18,2057772,7299592,9630764
19,2062524,7640520,9987580
20,2067872,7371076,9713068
21,2063724,7576092,9912060
22,2069244,8149540,10491532
23,2066868,8404148,10744624
24,2066340,8738856,11083356
25,2074236,8892360,11245372
26,2066104,7995452,10281016
27,2066200,7796348,10145400
28,2069924,8256100,10598240
29,2066872,8555040,10898340
30,2069776,8969512,11314300
31,2063032,9065392,11414080
32,2070544,9143220,11489632
33,2063328,8720396,11063240
35,2063512,9157348,11503940
36,2061168,9541400,11880380
37,2064056,9955848,12293280
38,2066420,10387640,12728488
39,2072232,10664208,13018132
40,2064576,10827968,13164904
41,2074212,11031528,13384744
42,2079092,11408076,13759704
43,2078968,11827416,14175332
44,2075908,12121156,14482284
45,2077756,12473620,14818880
46,2076360,12557128,14917388
47,2083752,13043852,15394272
48,2074680,12155028,14498852
50,2070020,11448068,13794284
51,2067704,11793928,14145628
52,2066252,12185476,14529784
53,2067892,12387860,14742400
54,2068152,12682804,15029548
55,2071188,12958696,15304500
56,2068676,13248972,15586396
57,2069920,13012452,15352980
58,2068336,13406820,15749320
59,2067904,13689148,16027788
60,2065792,13830996,16167612
61,2074240,13807764,16154012
62,2078780,13814412,16168292
63,2080892,13794392,16150400
64,2074804,12716864,15064528
65,2073976,13149536,15500332
67,2074864,13530912,15878720
68,2076712,13806628,16155756
69,2079352,13822824,16151376
70,2078996,13816380,16166660
71,2082448,13807748,16167532
72,2088520,13810184,16168316
73,2072648,12519028,14816132
74,2073928,12639364,14992848
75,2073148,12893016,15244668
76,2068932,12777856,15129272
77,2070640,13180212,15526392
78,2071676,13160132,15510884
79,2070464,12951748,15214968
80,2073048,13256452,15598244
82,2070392,13585772,15927692
83,2071388,13515036,15859136
84,2069276,13812420,16159708
85,2071780,13824288,16166428
86,2069628,13678412,16033984
87,2068512,13817832,16163064
88,2070804,13768392,16119808
89,2069612,13811904,16160872
90,2066696,13638044,15982572
91,2069864,13814624,16152364
92,2074740,13821976,16156152
93,2074216,13824188,16170488
94,2065100,13364188,15705228
95,2071944,13759024,16099632
97,2068100,13832796,16155272
98,2068552,13444216,15786700
99,2075644,13824976,16170056
100,2071276,13820512,16162464
101,2075236,13812692,16159232
102,2071544,13825384,16161732
103,2068208,13101704,15452092
104,2066728,13004304,15351728
105,2071992,13213100,15558068
106,2074680,13648944,15997684
107,2072532,13825076,16150000
108,2072132,13826860,16170324
109,2074772,13808680,16159452
110,2074692,13812168,16161428
111,2076252,13820072,16162108
112,2081004,13808664,16167040
113,2084700,13805212,16163136
115,2076124,12578916,14928772
116,2074208,12897796,15247612
117,2072720,13269360,15626188
118,2072276,13236660,15588032
119,2074652,13698796,16046172
120,2072316,13693720,16042300
121,2074540,13688412,16041456
122,2075540,13628912,15976852
123,2073948,13826536,16135564
124,2079884,13805540,16153616
125,2073516,13826712,16158192
126,2083020,13808988,16161892
127,2084076,13809964,16163968
129,2079824,13814580,16169000
130,2078852,12376672,14727944
131,2070672,12671648,15019788
132,2078544,13029712,15381708
133,2071144,13206124,15558280
134,2074456,13402988,15752540
135,2077884,13802692,16149536
136,2075840,13817432,16168780
137,2071796,13224528,15568712
138,2070868,13590408,15935708
139,2076624,13658984,16007936
140,2071436,13815252,16156916
141,2071828,13818716,16161292
142,2070472,13768344,16116412
144,2067416,13683104,16031780
145,2076784,13813856,16159740
146,2070712,13825208,16165772
147,2068204,13581804,15923088
148,2069260,13819576,16165220
149,2068068,13826648,16151004
150,2077572,13816920,16165796
151,2074900,13811468,16157288
152,2073464,13122696,15467296
153,2070824,13391580,15742480
154,2067660,13193776,15536336
155,2073860,13728656,16076616
156,2071748,13817788,16160156
157,2068248,13705508,16049004
159,2068300,13486084,15837124
160,2066004,13814712,16153544
161,2066200,13820388,16164784
162,2070424,13826236,16160412
163,2069312,13741108,16083404
164,2072148,13811396,16153456
165,2067744,13680396,16019208
166,2071568,13817364,16165532
167,2072176,13558444,15902264
168,2068976,13828872,16154808
169,2068976,13821160,16161080
170,2065772,13593788,15934204
171,2065108,13819108,16158040
172,2069644,13690384,16042432
174,2071620,13823468,16167900
175,2070164,13811540,16152960
176,2071220,13812012,16160924
177,2074652,13816464,16163232
178,2074376,13821724,16152296
179,2073324,13813064,16164060
180,2079240,13805236,16161256
181,2087424,13801396,16159060
182,2069620,12679528,15029040
183,2073580,13125296,15472980
184,2074372,13488312,15836040
185,2076272,13811048,16158564
187,2072916,13816732,16155720
188,2073972,13826960,16155652
189,2076084,13655640,16010628
190,2086380,13816088,16169896
191,2076340,12453656,14801824
192,2075144,12897004,15241720
193,2075144,13160600,15508548
194,2082644,13652560,16004908
195,2076592,13818536,16163020
196,2077912,13805124,16156580
197,2075416,13209956,15558956
198,2068488,13473488,15816608
199,2072500,13268660,15617476
200,2071968,13703228,16052256
202,2068244,13824960,16162780
203,2071936,13815808,16171752
204,2073744,13752804,16098360
205,2073140,13615684,15970796
206,2070232,13588816,15940128
207,2073136,13632392,15916084
208,2074848,13808796,16155556
209,2076032,13806584,16154544
210,2073432,13685412,16041432
211,2076072,13823044,16169856
212,2080292,13801336,16153408
213,2077240,13805316,16162380
214,2076712,13810584,16160060
216,2087268,13794164,16154036
217,2082440,13807712,16160372
218,2084252,13809380,16169192
219,2077096,12438508,14787160
220,2073756,12729524,15084124
221,2074904,13065412,15417812
222,2078196,13020556,15371420
223,2078724,13379036,15730796
224,2073892,13287324,15643996
225,2075076,13603056,15950564
226,2078240,13804628,16153904
227,2078168,13805876,16157356
228,2073080,13088748,15445620
229,2068848,13276244,15635252
231,2073076,13328548,15677168
232,2073860,13720912,16079324
233,2073980,13785556,16139940
234,2075680,13805140,16153696
235,2074356,13811732,16156808
236,2077260,13810364,16159492
237,2074740,13710572,16058160
238,2080812,13815164,16166644
239,2074396,13182376,15533744
240,2074500,13426896,15782100
241,2076580,13409464,15759608
242,2079864,13487572,15841724
243,2077772,13692148,16043868
244,2078008,13803748,16152876
245,2077364,13805792,16154176
246,2077464,13810792,16164456
247,2076144,13820952,16156344
248,2075516,13814688,16160200
250,2081096,13811464,16164188
251,2082328,13817300,16168744
252,2087028,13800328,16159464
253,2087624,13793912,16153288
254,2078296,12494860,14846740
255,2084112,12919044,15276952
256,2079768,13090724,15450516
257,2078968,13414944,15777376
258,2082772,13712308,16065680
259,2080288,13803952,16168632
260,2083984,13797176,16150676
261,2080716,13809444,16157304
263,2085672,13801512,16157444
264,2088960,13794436,16153120
265,2092600,13791928,16154344
266,2093808,13803156,16166448
267,2082100,12421456,14793152
268,2095332,12809420,15176144
269,2079400,12932740,15285984
270,2084700,13363380,15727324
271,2083908,13565464,15932600
272,2082156,13796324,16155244
273,2082676,13811984,16166636
274,2088852,13806248,16168020
275,2081140,13259320,15614564
276,2078700,13405164,15756340
277,2077924,12871504,15225800
278,2075548,13066344,15418132
279,2072328,12923140,15271956
281,2062120,11478856,13818112
282,2062776,11647144,13986780
283,2063304,11838040,14177340
284,2064624,11989340,14330956
285,2064868,12167640,14508868
286,2065660,12362124,14704112
287,2068036,12554260,14898704
288,2068576,12166580,14512284
289,2065800,12338156,14683068
290,2067120,12560240,14904040
291,2072928,12735516,15085832
292,2070460,12903924,15251104
293,2070988,13111452,15460628
294,2070528,12785692,15134968
295,2071976,12943072,15292188
296,2069600,13112976,15458948
297,2070920,13315724,15663664
298,2074352,13469228,15820396
299,2075432,13651776,16003688
300,2076224,13818280,16168580
301,2076224,13815404,16166140
302,2075428,13385036,15735512
303,2072916,13558664,15906928
304,2073708,13752168,16100980
305,2078724,13804820,16159660
306,2079464,13815060,16169448
307,2081312,13806972,16163976
308,2075908,13251680,15605228
309,2076564,13414872,15766676
310,2077356,13578592,15931760
311,2078148,13741432,16093600
312,2080664,13649476,16007568
313,2082640,13809624,16166212
314,2083168,13795812,16154524
315,2083168,13805188,16164932
316,2084484,13805748,16150096
317,2086068,13788956,16151448
318,2081612,13254760,15612768
319,2082268,13445008,15804084
321,2083060,13640776,16000376
322,2084380,13795440,16156024
323,2085716,13678744,16042328
324,2086108,13799716,16164468
325,2086636,13790696,16153516
326,2084476,13556164,15918280
327,2085132,13724596,16086908
328,2086188,13807708,16168132
329,2087508,13801340,16149896
330,2090524,13656188,16022704
331,2088012,13780824,16144840
332,2088804,13808568,16150496
333,2091120,13625256,15991800
334,2092040,13802300,16169620
335,2093204,13799420,16167140
336,2088156,13513640,15880708
337,2089076,13716088,16085176
