,mem,page,total
1,716172,619604,1691020
2,1591860,1205700,3156264
3,2025556,1719788,4098580
4,2036696,2282480,4679200
5,2031712,2586236,4971820
6,2036736,3130244,5514392
7,2034364,3487752,5877388
8,2034372,3881544,6267792
9,2038076,4271628,6660544
10,2050488,4694536,7093280
11,2048784,5109464,7515368
12,2055492,5601112,8004676
13,2048460,5875392,8271140
15,2049780,6345644,8747936
16,2050396,6768428,9169540
17,2054352,7132756,9534608
18,2058224,6760484,9169908
19,2064700,7212232,9630192
20,2064396,7548948,9971792
21,2063544,7895904,10315360
22,2065652,8275368,10699608
23,2064852,8677012,11101556
24,2067228,9049144,11476056
25,2072244,9432752,11855652
26,2070032,8680440,11104520
27,2074368,9156120,11581416
28,2073996,9456656,11880156
30,2072128,9833896,12258980
31,2075296,10221308,12653340
32,2072436,9195976,11619784
33,2067860,9015560,11431776
34,2067240,8887384,11312068
35,2067496,9296508,11716112
36,2073432,9788500,12205740
37,2066832,10015216,12426816
38,2066072,9871508,12289472
39,2067256,10197896,12607608
40,2065936,10636828,13055684
41,2067520,10952800,13375736
42,2078872,11442028,13863092
43,2078576,11760144,14183960
45,2086152,12169920,14596184
46,2086488,12710532,15149092
47,2081176,12877812,15314188
48,2084344,13365532,15794784
49,2085136,13695900,16139220
50,2082692,12879204,15309632
51,2074556,12657320,15081860
52,2081020,13181668,15611516
53,2072012,13437444,15870092
54,2077028,13743132,16150060
55,2077556,13744384,16151296
56,2083628,13738616,16154552
57,2078452,12899240,15334752
58,2087556,13438676,15874488
59,2075708,12734232,15167768
61,2080088,12963176,15390776
62,2075200,13296420,15724568
63,2077104,13399180,15833660
64,2084244,13702576,16081168
65,2065624,12671444,15089248
66,2073952,13038992,15460196
67,2070384,13348284,15766644
68,2069312,13517980,15937040
69,2073456,13644384,16013332
70,2072280,13506460,15923872
71,2076208,13740128,16165676
72,2073928,13747624,16158712
73,2072232,13305392,15730092
74,2073784,13712164,16133928
75,2073512,13740424,16167460
76,2073776,13754752,16155648
77,2069244,13137900,15554472
79,2072660,13141696,15560944
80,2067476,13518452,15935976
81,2071272,13733328,16157412
82,2076552,13742024,16154436
83,2072204,13543696,15977256
84,2078012,13731956,16155476
85,2077072,13738352,16156192
86,2071728,13435408,15864284
87,2074444,13502980,15927756
88,2068892,13741928,16164860
89,2075808,13636956,16059944
90,2072308,13702776,16123000
91,2069676,13584848,16007740
92,2072972,13730124,16152032
93,2071036,13619580,16039400
94,2080012,13723564,16153316
96,2073236,13743124,16167260
97,2084852,13732332,16162516
98,2078780,13743632,16169528
99,2071612,12945528,15380792
100,2076364,13427832,15855028
101,2074908,13647088,16079976
102,2076532,13245884,15668004
103,2072440,13576472,16005564
104,2074404,13742764,16165212
105,2078100,13731092,16162592
106,2077548,13735024,16168656
107,2077548,13738628,16170748
108,2080980,13742784,16156016
109,2089612,13307504,15685224
110,2079864,12269280,14719240
112,2074964,12525384,14954492
113,2081424,13087504,15521832
114,2074296,13320772,15742672
115,2080812,13530624,15914504
116,2083480,13728824,16165400
117,2082784,13742576,16165428
118,2079248,13715356,16144608
119,2085848,13724004,16164388
120,2083612,13735160,16166860
121,2084852,13729108,16167404
122,2084588,13741416,16155212
124,2091212,13487476,15837112
125,2079260,12595060,15023744
126,2081396,12636792,15065920
127,2078988,12929952,15356856
128,2079860,13299084,15727624
129,2088100,13668388,16103052
130,2075424,13653624,16083784
131,2082032,13743108,16156280
132,2080976,13744452,16151736
133,2080048,13734880,16161360
134,2079656,12792468,15222140
135,2070964,12813764,15238536
136,2078424,13115228,15541140
