,mem,page,total
1,694452,590076,1622232
2,1533708,1147880,3026760
3,2026160,1640776,4006084
4,2037000,2227468,4605132
5,2032040,2520916,4893048
6,2037592,3073236,5440660
7,2031532,3423228,5790696
9,2041836,3964296,6336560
10,2041328,4222636,6597680
11,2052156,4834772,7225060
12,2049388,5176748,7558312
13,2052512,5686160,8069208
14,2045120,5897808,8284568
15,2051456,6427988,8819784
16,2059376,6759680,9150232
17,2059352,6543144,8902000
18,2059508,6875668,9273108
19,2062528,7227516,9636344
20,2060680,7570352,9969060
21,2069932,8045484,10446932
22,2069188,8377376,10778160
24,2074732,8771304,11176664
25,2071116,9140356,11547832
26,2073604,8707084,11113196
27,2063424,8281228,10681224
28,2069912,8816484,11223000
29,2067984,9121516,11520748
30,2068776,9477736,11883420
31,2073104,9631592,12041980
32,2079144,10023756,12432768
33,2073992,9371600,11728780
34,2069984,9190356,11597300
35,2070284,9555976,11956488
36,2070676,10012088,12415336
37,2066476,10272028,12668824
39,2064320,9825964,12218560
40,2066932,9620632,12011872
41,2058256,9834628,12220040
42,2063136,10374304,12773236
43,2062872,10706132,13091344
44,2063664,11130196,13517784
45,2069736,11480968,13880244
46,2079768,11972008,14377972
47,2074552,12219368,14624984
48,2080856,12765928,15171472
49,2069356,12021800,14419152
50,2075688,12550672,14952092
51,2074368,12831308,15231540
52,2073704,13191524,15591496
53,2078984,13626168,16038484
55,2076840,13759928,16163464
56,2080800,13746620,16158364
57,2081236,13745492,16165472
58,2079244,13758564,16150396
59,2085236,13724992,16143532
60,2086304,13580984,15999316
61,2084780,12547124,14963564
62,2079988,12803792,15224760
63,2079208,12702172,15111744
64,2078504,12977236,15391208
65,2081272,13356020,15772164
66,2079244,13183116,15599404
67,2071000,12603612,15008048
68,2073352,13051276,15456992
70,2070912,13221508,15630916
71,2072748,13678368,16084052
72,2071372,13726140,16126348
73,2076252,13647392,16052936
74,2076268,13607112,16021024
75,2074148,13761012,16153928
76,2071884,13499768,15909348
77,2070432,13758908,16161140
78,2074616,13616628,16023976
79,2071432,13453308,15855468
80,2076156,13757600,16170324
81,2075720,13759024,16154508
82,2076920,13759460,16150056
83,2076392,13754468,16163056
84,2076596,13600856,16014652
86,2071536,13269640,15678604
87,2076152,13768168,16155444
88,2074696,13767024,16169004
89,2074824,13756056,16163100
90,2074296,13759072,16160628
91,2080032,13669492,16077444
92,2077888,13584600,16000004
93,2075500,13751160,16161948
94,2078580,13683416,16094756
95,2076596,13759396,16148272
96,2077248,13749880,16159788
97,2076488,13528352,15936052
98,2080140,13395928,15810484
99,2074956,13657976,16068292
100,2074788,13534048,15964708
101,2080472,13663872,16083116
103,2078880,13762052,16170444
104,2077372,13769820,16171504
105,2079668,13418388,15830892
106,2077292,13761692,16168484
107,2077948,13758024,16171716
108,2078740,13758104,16168344
109,2080236,13596832,16012848
110,2082836,13738464,16162904
111,2085044,13751232,16169828
112,2089660,13753804,16168276
113,2082500,13737964,16156272
114,2083312,13245100,15672592
115,2079352,13510412,15932636
117,2086020,13750664,16163780
118,2086148,13755300,16149700
119,2088896,13747668,16166608
120,2088368,13750376,16167500
121,2089400,13737048,16163464
122,2087552,13730340,16144408
123,2091776,13746672,16159028
124,2100020,13397100,15827012
125,2084012,12233332,14647044
126,2081512,12484296,14905620
127,2078876,12844332,15258960
128,2084016,13280388,15695308
129,2084744,13452256,15865180
130,2080164,13512012,15922232
131,2081288,13721964,16143296
132,2073172,13299588,15709388
133,2079484,13562808,15974436
135,2077764,13755172,16168300
136,2078224,13511160,15925828
137,2072056,13353388,15760988
138,2076712,13584648,15996316
139,2073536,13762936,16168748
140,2076040,13752336,16162816
141,2078944,13746260,16160540
142,2080000,13747164,16158928
143,2082640,13746048,16159800
144,2084672,13167136,15525728
145,2080436,13226712,15640244
146,2075376,12914384,15326176
147,2076136,13320820,15733472
149,2079304,13755432,16161216
150,2079168,13753616,16169716
151,2085240,13743324,16162056
152,2091700,13734840,16156536
153,2091056,13740932,16159896
154,2092280,13713040,16072724
155,2077848,12499564,14889120
156,2082868,12910264,15325080
157,2079692,13220164,15633976
158,2080924,12983892,15395408
159,2083656,13032116,15448848
160,2081376,13508144,15923188
162,2083752,13743296,16158144
163,2081768,13759268,16154740
164,2081248,13569956,16014216
165,2081696,13745080,16111292
166,2077620,13396292,15815576
167,2082236,13741392,16161096
168,2080644,13758652,16168688
169,2087016,13709828,16127432
170,2079932,13662084,16040580
171,2084824,13741868,16154380
172,2082712,13744840,16157308
173,2079944,13527724,15938056
174,2077832,13752788,16164668
175,2082180,13764328,16171012
177,2087428,13747412,16166872
178,2089540,13746632,16156612
179,2089224,13749576,16168964
180,2097548,13734392,16171652
181,2095308,13728252,16160664
182,2099148,13536840,15864080
183,2086088,12758032,15176584
184,2092492,13055572,15484008
185,2090244,13373836,15801012
186,2086852,12228076,14658568
187,2091112,12676964,15103084
188,2091244,13075404,15500344
189,2088752,13350760,15770056
190,2093548,13717784,16145668
191,2090612,13744380,16167988
192,2092300,13745064,16160064
193,2098372,13735064,16163472
194,2099956,13733644,16150300
195,2100552,13742800,16156056
196,2102492,13741976,16151500
197,2100080,13081228,15514248
198,2098920,12892064,15301824
200,2094724,12996404,15426676
201,2099236,12987816,15420296
202,2098580,13339508,15783404
203,2096560,13641924,16068888
204,2101748,13732132,16168600
205,2100652,13743168,16164908
206,2104076,13728036,16154032
207,2106604,13723652,16160556
208,2097636,12792012,15225032
209,2091248,12134468,14552992
210,2092300,12494868,14919448
211,2092048,12730496,15158816
212,2093448,12951924,15384220
213,2095728,13338160,15778856
214,2091840,13026788,15462720
215,2095300,13184000,15618224
216,2091420,12992500,15427424
218,2093916,13522184,15952108
219,2093940,13737596,16166264
220,2091032,13737852,16166496
221,2094012,13723760,16152440
222,2093736,13563384,15998252
223,2093600,13729384,16161948
224,2100524,13732712,16168040
225,2096056,13102720,15486252
226,2099640,13490524,15926076
227,2095396,13723860,16158664
228,2098644,13559996,16004528
229,2099440,13739184,16157604
230,2100484,13728412,16123792
231,2107068,13726312,16166028
232,2101920,13718332,16161964
233,2102596,13121936,15560392
234,2105416,13633212,16078616
235,2101400,13374812,15819668
236,2105356,13734712,16171580
238,2105484,13732784,16170096
239,2103640,13718456,16164792
240,2108124,13520964,15963956
241,2103172,13465332,15907888
