,mem,page,total
1,165000,377860,968584
2,192444,1631452,2180020
3,189560,1861736,2406956
5,182968,2113248,2652112
6,181648,2738240,3318628
7,192480,3447020,3997036
8,184300,3683608,4277096
9,179296,4132360,4738784
10,191976,4900964,5449612
11,190660,5249732,5797092
12,189048,5589160,6136108
14,192748,6186140,6772012
15,198544,6741852,7295680
16,195380,7056776,7608976
17,189540,7359908,7907884
18,197724,8083920,8638364
19,204060,8490336,9049840
20,206964,8710476,9273656
21,198828,9059060,9614256
22,218296,9787636,10426488
24,224896,10226424,10860480
25,218936,10471200,11049552
26,219568,10738008,11315328
27,231448,11089428,11677444
28,235408,11400684,11993508
29,238048,11735112,12330968
30,217276,9876772,10449924
31,218596,10181916,10756168
32,214768,9862420,10387020
33,212448,9615484,10185056
34,215088,9812584,10384404
35,196204,7349140,7858520
36,188636,6352932,6899536
37,192860,6393424,6943564
38,197084,6432324,6986452
39,201572,6472204,7029788
40,206060,6511804,7074464
41,210548,6551320,7118296
42,215036,6589664,7160672
43,219788,6628040,7204316
44,224276,6664276,7245556
45,228856,6701312,7286624
46,233608,6739296,7330488
47,238356,6732856,7329252
48,238356,6766440,7362792
49,238356,6798556,7393836
50,238356,6830976,7426548
51,238620,6863588,7459164
52,238620,6895436,7491192
53,238620,6927728,7524228
54,238620,6958704,7555192
56,238620,6989768,7586724
57,238620,7021868,7619004
58,238620,7054184,7650424
59,238620,7084868,7681980
60,238620,7116208,7713180
61,238620,7146772,7743264
62,243896,7139748,7741140
63,246800,7277232,7881628
64,246800,7382452,7985908
65,246800,7510032,8113436
66,246800,7638148,8241492
67,247064,7748156,8352340
68,248720,7355088,7961212
69,249776,7474212,8081220
70,249972,7460408,8069392
71,249972,7591196,8198800
72,249972,7413952,8022580
73,249972,7445716,8054300
74,249972,7477036,8085872
75,249972,7508148,8115584
76,249972,7538304,8145808
77,252608,7592556,8199712
78,252608,7556452,8166392
79,252608,7582428,8193248
80,252608,7609616,8219684
81,252608,7636368,8247168
82,252608,7660152,8271092
83,252608,7684596,8295820
84,252608,7708328,8318924
85,252608,7732024,8343968
86,252608,7758448,8369348
87,252608,7784880,8395768
88,252608,7808080,8418504
89,252608,7830844,8441712
90,252608,7854400,8463692
91,255244,7837492,8450800
92,255244,7859944,8472944
93,255244,7882876,8496372
94,255244,7905644,8518404
95,255244,7926536,8538904
96,255244,7947308,8559552
97,255244,7967464,8579996
99,255244,7987740,8601164
100,255244,8007096,8620340
101,255244,8029248,8642540
102,255244,8049732,8663488
103,255244,8071596,8684396
104,255244,8092084,8705100
105,255244,8111464,8724960
106,255244,8091516,8704296
107,255244,8111360,8724496
108,255244,8131000,8744616
109,255244,8148664,8763076
110,255244,8165864,8780312
111,255244,8184724,8799008
112,255244,8202328,8815876
113,255244,8219712,8833248
114,255244,8236740,8850700
115,255244,8253900,8867608
116,255244,8270920,8884248
117,255244,8287712,8901432
118,255244,8304680,8919104
119,255244,8321216,8934948
120,255244,8338480,8951352
121,255244,8355348,8968652
122,259464,8398444,9017068
123,259464,8504148,9122152
124,259464,8621620,9239372
125,259728,8595920,9166424
126,263160,8385928,9007032
127,264216,8513236,9135688
128,264216,8624876,9245624
129,264216,8739132,9359504
130,264216,8864980,9486764
131,264216,8983864,9605692
132,265272,8500348,9125616
133,265272,8524340,9148060
134,265272,8548996,9173212
135,265272,8588036,9212736
136,266328,8555204,9180984
138,266328,8576540,9201876
139,266328,8598552,9222728
140,266328,8618636,9242792
141,266328,8637668,9263040
142,266328,8657648,9282672
143,266328,8676876,9301760
144,266328,8696188,9320888
145,266328,8715316,9339844
146,266328,8734196,9359452
147,266328,8755320,9380012
148,266328,8735400,9359340
149,266328,8752840,9377264
150,266328,8769540,9394228
151,266328,8788268,9413168
152,266328,8806264,9432068
153,266328,8824564,9449700
154,266328,8841180,9465040
155,266328,8856448,9479672
156,266328,8873020,9496596
157,266328,8888844,9513204
158,266328,8904880,9528788
159,266328,8920476,9545272
160,266328,8938012,9562936
161,266328,8917128,9542020
162,266328,8932636,9557848
163,266328,8948428,9572620
164,266328,8963776,9588196
165,266328,8979520,9604072
166,266328,8994836,9619964
167,266328,9010360,9635636
168,266328,9024292,9649772
169,266328,9039448,9664868
170,266328,9054752,9679704
171,266328,9068256,9692052
172,266328,9082896,9706212
173,266328,9096280,9720820
174,266328,9119364,9744004
175,270288,9166252,9795200
176,270288,9267816,9895748
177,270288,9380964,10009564
178,274248,9181168,9813516
179,274248,9278700,9911364
180,274512,9393508,10026748
182,274512,9149668,9783260
183,274512,9170936,9804680
184,274512,9192380,9826180
185,274512,9211232,9843976
186,274512,9230248,9862396
187,274512,9211348,9844600
188,274512,9227716,9861104
189,274512,9245500,9879052
190,274512,9261592,9895212
191,274512,9278224,9911316
192,274512,9294888,9928500
193,274512,9310612,9943636
194,274512,9326104,9959624
195,274512,9342008,9974924
196,274512,9359284,9992408
197,274512,9376496,10009512
198,274512,9353692,9987792
199,274512,9367840,10001424
200,274512,9381724,10014772
201,274512,9395952,10028892
202,274512,9410376,10043492
203,274512,9425116,10058392
204,274512,9438204,10071292
205,274512,9451092,10084276
206,274512,9464112,10097444
207,274512,9478320,10110956
208,274512,9492204,10125100
209,274512,9511936,10146560
210,274512,9479676,10114020
211,274512,9491992,10125336
212,274512,9503436,10135944
213,274512,9515284,10147284
214,274512,9526600,10159240
215,274512,9538208,10171100
216,274512,9549720,10182668
