,mem,page,total
2,686800,598052,1620836
3,1527900,1153804,3014436
4,2023016,1657396,4015760
5,2034952,2252856,4629956
6,2031552,2554212,4923060
7,2035784,3083828,5450884
8,2038156,3460540,5841252
9,2038948,3822372,6205020
10,2047676,4287712,6665156
11,2043340,4608640,6982508
12,2048464,5236592,7618380
13,2043284,5492224,7870180
14,2051200,6071656,8457996
15,2050936,6371832,8752940
16,2062672,6924576,9325532
17,2059508,7210568,9608456
19,2064860,7723816,10117808
20,2062552,8040956,10432356
21,2062748,7676020,10074480
22,2067760,8189284,10594196
23,2067096,8456880,10854984
24,2067820,8802692,11200872
25,2069140,9239264,11645068
26,2072716,9647360,12059496
27,2072452,9680364,11934592
28,2070248,9281524,11690672
29,2075744,9451544,11856976
30,2076160,9776344,12182304
31,2070104,9089632,11490308
32,2070348,9634416,12044096
34,2063644,9265428,11607076
35,2065224,9193884,11593804
36,2067732,9444920,11835652
37,2066276,9797688,12197232
38,2064944,9777112,12169008
39,2067576,10249080,12643852
40,2067176,10616728,13030920
41,2065328,10959848,13354268
42,2073416,11197588,13594480
43,2071040,11432584,13836752
44,2077240,11926240,14338508
45,2080328,12273332,14677804
47,2082376,12726076,15131260
48,2076540,13045332,15447392
49,2080496,13521340,15931444
50,2071524,12342008,14690736
51,2073864,12338856,14740108
52,2073724,12784604,15184228
53,2070688,13074192,15485632
54,2073720,13519572,15922808
55,2075040,13758968,16160440
56,2076276,13751260,16151824
57,2079268,13627068,16034240
58,2081644,13747280,16152232
59,2076544,12483380,14888172
60,2078184,12537088,14944012
61,2073668,12849208,15255016
62,2071776,13000840,15410044
63,2076528,13438464,15844012
64,2071672,13494960,15897744
66,2083552,13734348,16145068
67,2074152,13751172,16152732
68,2075940,12954168,15299948
69,2071304,13080620,15478784
70,2070104,13461544,15862644
71,2072744,13766084,16156888
72,2069520,13412920,15815852
73,2074804,13755992,16157740
74,2067004,13316372,15714388
75,2073708,13447212,15849124
76,2067996,13778432,16154768
77,2068124,13759024,16161968
78,2071820,13773164,16152228
79,2068512,13070892,15474608
81,2072484,13335720,15737848
82,2070996,13745052,16145556
83,2074888,13769552,16169960
84,2071708,13759224,16156724
85,2072368,13762224,16162116
86,2065588,13141388,15500508
87,2069568,13501232,15904392
88,2069312,13761280,16171432
89,2066784,13594252,15999696
90,2070148,13766772,16155936
91,2068692,13760684,16164568
92,2069876,13756980,16162936
93,2069924,13649856,16067460
95,2071368,13761884,16159872
96,2075188,13777208,16183696
97,2070812,13763108,16171392
98,2068468,13160544,15556156
99,2072236,13316340,15718824
100,2069044,13531912,15931728
101,2070752,13418792,15831264
102,2072592,13771644,16164164
103,2070608,13772836,16172852
104,2074808,13763264,16166840
105,2074256,13751744,16154428
106,2073200,13770976,16162180
107,2067880,13110372,15508992
108,2067944,12928524,15338796
109,2070464,12994464,15377984
110,2069128,13071624,15472784
111,2073476,13574728,15974524
112,2068060,13756892,16152116
114,2064324,13538860,15941792
115,2066376,13707852,16105564
116,2065448,13764964,16163308
117,2069528,13494572,15891600
118,2069096,13559200,15959228
119,2071564,13758996,16152360
120,2070772,13760536,16162972
121,2068376,13613912,15991860
